latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature, gas, gas average, gas peak, people, cumulative people
25.0649986267,121.5267257690,1:43:4,8/11/2016,71,1,6.88,33,27.64,116.00,116.00,116.00,0,3
25.0649986267,121.5267257690,1:43:5,8/11/2016,65,0,2.51,19,27.15,117.00,116.27,117.00,0,3
25.0650138854,121.5267562866,1:43:6,8/11/2016,53,0,1.43,11,27.64,118.00,117.03,118.00,0,3
25.0650234222,121.5267715454,1:43:7,8/11/2016,31,3,1.00,14,27.15,118.00,117.96,118.00,0,3
25.0650844573,121.5268249511,1:43:8,8/11/2016,24,13,2.03,22,27.15,117.00,117.81,118.00,0,3
25.0651073455,121.5268554687,1:43:9,8/11/2016,22,0,3.74,33,27.64,117.00,116.93,117.00,0,3
25.0651245117,121.5268859863,1:43:10,8/11/2016,22,1,0.78,11,27.64,114.00,115.54,117.00,0,3
25.0651321411,121.5268859863,1:43:11,8/11/2016,22,0,1.14,9,27.64,112.00,113.38,114.00,0,3
25.0651073455,121.5268859863,1:43:12,8/11/2016,22,0,0.81,12,27.64,111.00,111.66,112.00,0,3
25.0650558471,121.5268707275,1:43:13,8/11/2016,24,1,0.11,4,27.64,110.00,110.50,111.00,0,3
25.0650272369,121.5268554687,1:43:14,8/11/2016,25,0,0.27,5,27.64,109.00,109.52,110.00,0,3
25.0650062561,121.5268554687,1:43:15,8/11/2016,29,1,0.24,6,27.64,108.00,108.51,109.00,0,3
25.0649700164,121.5268402099,1:43:16,8/11/2016,38,0,0.54,13,27.64,107.00,107.82,108.00,0,3
25.0649528503,121.5268402099,1:43:17,8/11/2016,70,0,0.82,16,27.64,107.00,107.04,108.00,0,3
25.0649414062,121.5268402099,1:43:18,8/11/2016,133,2,0.67,7,27.64,107.00,107.00,107.00,0,3
25.0649242401,121.5268402099,1:43:19,8/11/2016,124,1,1.26,19,27.64,106.00,106.63,107.00,0,3
25.0649127960,121.5268402099,1:43:20,8/11/2016,128,2,1.26,17,27.64,106.00,106.00,106.00,0,3
25.0649013519,121.5268402099,1:43:21,8/11/2016,105,0,0.89,10,27.64,107.00,106.05,107.00,0,3
25.0648880004,121.5268402099,1:43:22,8/11/2016,142,2,2.17,21,27.64,106.00,106.01,107.00,0,3
25.0648727416,121.5268402099,1:43:23,8/11/2016,131,0,1.93,11,27.64,107.00,106.28,107.00,0,3
25.0648555755,121.5268402099,1:43:24,8/11/2016,117,1,5.18,23,27.64,107.00,106.46,107.00,0,3
25.0648365020,121.5268402099,1:43:25,8/11/2016,80,6,6.16,34,27.15,107.00,107.00,107.00,0,3
25.0648078918,121.5268402099,1:43:26,8/11/2016,66,0,2.14,27,27.64,109.00,107.85,109.00,0,3
25.0647697448,121.5268249511,1:43:27,8/11/2016,58,3,2.78,17,27.64,111.00,109.54,111.00,0,3
25.0647258758,121.5268096923,1:43:28,8/11/2016,53,0,9.39,51,27.64,113.00,111.87,113.00,0,3
25.0646934509,121.5267868041,1:43:29,8/11/2016,55,10,3.20,24,27.64,114.00,113.85,115.00,0,3
25.0646476745,121.5267715454,1:43:30,8/11/2016,63,6,3.38,23,27.64,116.00,115.15,116.00,0,3
25.0646286010,121.5267715454,1:43:31,8/11/2016,82,17,6.59,36,27.64,116.00,116.69,117.00,0,3
25.0646076202,121.5267715454,1:43:32,8/11/2016,98,3,14.04,79,27.64,117.00,116.33,117.00,0,3
25.0646076202,121.5267715454,1:43:33,8/11/2016,84,3,8.30,39,27.15,119.00,117.54,119.00,0,3
25.0646076202,121.5267715454,1:43:34,8/11/2016,101,22,11.14,49,27.15,120.00,119.36,120.00,0,3
25.0646076202,121.5267715454,1:43:34,8/11/2016,106,25,25.00,25,27.15,120.00,120.00,120.00,0,3
25.0646076202,121.5267715454,1:43:35,8/11/2016,125,24,19.94,64,27.64,120.00,119.98,120.00,0,3
25.0646076202,121.5267715454,1:43:35,8/11/2016,123,26,26.00,26,27.15,120.00,120.00,120.00,0,3
25.0646076202,121.5267715454,1:43:36,8/11/2016,91,18,13.96,58,27.15,119.00,119.56,120.00,0,3
25.0646076202,121.5267715454,1:43:36,8/11/2016,92,15,15.00,15,27.15,119.00,119.00,119.00,0,3
25.0646076202,121.5267715454,1:43:37,8/11/2016,87,24,16.41,74,27.15,119.00,118.89,119.00,0,3
25.0646076202,121.5267715454,1:43:38,8/11/2016,82,20,17.11,90,27.15,118.00,118.05,119.00,0,3
25.0646076202,121.5267715454,1:43:39,8/11/2016,61,3,14.78,53,27.15,118.00,118.00,118.00,0,3
25.0646076202,121.5267715454,1:43:40,8/11/2016,39,3,10.78,40,27.15,116.00,116.71,118.00,0,3
25.0646076202,121.5267715454,1:43:40,8/11/2016,36,3,3.00,3,27.64,116.00,116.00,116.00,0,3
25.0646076202,121.5267715454,1:43:41,8/11/2016,25,32,11.81,59,27.15,115.00,115.54,116.00,0,3
25.0646076202,121.5267715454,1:43:42,8/11/2016,22,32,28.53,83,27.15,113.00,114.05,115.00,0,3
25.0642585754,121.5266799926,1:43:43,8/11/2016,21,23,17.05,59,27.64,112.00,112.62,113.00,0,3
25.0641231536,121.5266265869,1:43:44,8/11/2016,21,57,23.10,86,27.64,111.00,111.38,112.00,0,3
25.0640830993,121.5266113281,1:43:45,8/11/2016,20,9,27.04,99,27.64,109.00,109.91,111.00,0,3
25.0640621185,121.5266113281,1:43:46,8/11/2016,19,13,23.78,102,27.15,108.00,108.67,110.00,0,3
25.0640468597,121.5265960693,1:43:47,8/11/2016,19,5,17.28,55,27.15,108.00,108.00,108.00,0,3
25.0640296936,121.5265808105,1:43:48,8/11/2016,19,5,8.07,34,27.64,107.00,107.21,108.00,0,3
25.0640506744,121.5265960693,1:43:49,8/11/2016,20,17,12.48,57,27.64,106.00,106.32,107.00,0,3
25.0640373229,121.5265960693,1:43:50,8/11/2016,20,14,12.68,43,27.15,105.00,105.58,106.00,0,3
25.0640335083,121.5265960693,1:43:51,8/11/2016,20,19,12.32,45,27.15,105.00,105.01,106.00,0,3
25.0640220642,121.5265960693,1:43:52,8/11/2016,21,24,13.65,55,27.64,105.00,105.00,105.00,0,3
25.0640544891,121.5266113281,1:43:53,8/11/2016,22,8,21.94,67,27.64,104.00,104.03,105.00,0,3
25.0640869140,121.5266265869,1:43:54,8/11/2016,23,10,13.25,42,27.64,104.00,104.00,104.00,0,3
25.0640830993,121.5266265869,1:43:55,8/11/2016,25,55,20.95,76,27.15,103.00,103.20,104.00,0,3
25.0640869140,121.5266265869,1:43:56,8/11/2016,30,31,29.04,120,27.15,103.00,103.00,103.00,0,3
25.0640830993,121.5266265869,1:43:57,8/11/2016,31,33,30.67,158,27.64,103.00,102.84,103.00,0,3
25.0640830993,121.5266418457,1:43:58,8/11/2016,32,26,28.59,84,27.15,103.00,102.80,103.00,0,3
25.0640869140,121.5266418457,1:43:59,8/11/2016,31,26,17.89,62,27.15,102.00,102.01,103.00,0,3
25.0640869140,121.5266418457,1:44:0,8/11/2016,31,37,18.23,70,27.64,102.00,102.00,102.00,0,3
